all
http://10.142.97.3:8088/ws/v1/cluster/apps?state=RUNNING
queue,user,id,name,started_time,finished_time,cpu_average,cpu_seconds,memory_seconds,time_elapsed,finalStatus
root.dpiq,dpiq,application_1527220447442_1021450,Compact-2018061021@dpiq_db.dpi_951,2018-06-10 23:39:22,1970-01-01 08:00:00,530,142164,292422143,1322769,RUNNING
root.dpiq,dpiq,application_1527220447442_1021449,Compact-2018061021@dpiq_db.dpi_451,2018-06-10 23:41:05,1970-01-01 08:00:00,529,133309,274218708,1220541,RUNNING
root.hjtest.hjstandard,hjtest,application_1527220447442_1021725,'MID_MBL_DPI_USER_PRE_SUM_H_TMP_20180609',2018-06-10 23:42:40,1970-01-01 08:00:00,348,65876,135306164,1124748,RUNNING
root.hjpt,hjpt,application_1527220447442_1021581,clean:yunnan_itf_4gdpi_mbl_20180610_22 DPI,2018-06-10 23:39:15,1970-01-01 08:00:00,211,45418,139495223,1330254,RUNNING
root.hjpt,hjpt,application_1527220447442_1021564,clean:zhejiang_itf_4gdpi_mbl_20180610_22 DPI,2018-06-10 23:40:18,1970-01-01 08:00:00,210,45270,139090418,1267577,RUNNING
root.hjpt,hjpt,application_1527220447442_1021584,clean:henan_itf_4gdpi_mbl_20180610_22 DPI,2018-06-10 23:41:00,1970-01-01 08:00:00,209,42979,132078402,1224932,RUNNING
root.hjpt,hjpt,application_1527220447442_1021585,clean:nmg_itf_4gdpi_mbl_20180610_22 DPI,2018-06-10 23:41:13,1970-01-01 08:00:00,209,40362,124048339,1212638,RUNNING
root.hjpt,hjpt,application_1527220447442_1021575,clean:ningxia_itf_4gdpi_mbl_20180610_22 DPI,2018-06-10 23:38:01,1970-01-01 08:00:00,207,45022,138253942,1404048,RUNNING
root.hjpt,hjpt,application_1527220447442_1021570,clean:beijing_itf_4gdpi_mbl_20180610_22 DPI,2018-06-10 23:40:18,1970-01-01 08:00:00,207,44530,136788188,1267261,RUNNING
root.hjpt,hjpt,application_1527220447442_1021568,clean:hlj_itf_4gdpi_mbl_20180610_22 DPI,2018-06-10 23:37:41,1970-01-01 08:00:00,205,68394,209983235,1424300,RUNNING
root.hjpt,hjpt,application_1527220447442_1021572,clean:guizhou_itf_4gdpi_mbl_20180610_22 DPI,2018-06-10 23:39:20,1970-01-01 08:00:00,204,43776,134444514,1325152,RUNNING
root.hxxt_yx,hxxt_yx,application_1527220447442_665500,dv_share_net_oidd_posistion_receiveData,2018-06-04 18:14:43,1970-01-01 08:00:00,202,108853455,337709266903,539202274,RUNNING
root.jt_cs_zh_queue_0,jt_cs_zh_cssc_jqzh,application_1527220447442_831133,jt_cs_zh_cssc_jqzh_NM-402-HW-RH2288V3-BIGDATA-2016-065.BIGDATA.CHINATELECOM.CN_10001_20180607151831,2018-06-07 15:18:44,1970-01-01 08:00:00,201,58354684,74917059597,290561614,RUNNING
root.hjpt,hjpt,application_1527220447442_1021567,clean:chongqing_itf_4gdpi_mbl_20180610_22 DPI,2018-06-10 23:32:18,1970-01-01 08:00:00,166,98686,302809606,1747015,RUNNING
root.hjpt,hjpt,application_1527220447442_1021578,clean:shanxi_itf_4gdpi_mbl_20180610_22 DPI,2018-06-10 23:31:42,1970-01-01 08:00:00,166,96186,295071111,1782741,RUNNING
root.hxxt_bp,hxxt_yx,application_1527220447442_836357,BatchHiveToHive_ERROR,2018-06-07 17:08:18,1970-01-01 08:00:00,161,45573056,53625936098,283987163,RUNNING
root.hjpt,hjpt,application_1527220447442_1021565,clean:tianjin_itf_4gdpi_mbl_20180610_22 DPI,2018-06-10 23:39:23,1970-01-01 08:00:00,147,34640,106297302,1321862,RUNNING
root.hjpt,hjpt,application_1527220447442_1021577,clean:qinghai_itf_4gdpi_mbl_20180610_22 DPI,2018-06-10 23:32:32,1970-01-01 08:00:00,146,88116,270306921,1733603,RUNNING
root.hjpt,hjpt,application_1527220447442_1021455,roam:itf_4gdpi_mbl_zhejiang_20180610_10-combine,2018-06-10 23:42:51,1970-01-01 08:00:00,141,26037,53532983,1113770,RUNNING
root.dpiq,dpiq,application_1527220447442_1020506,Compact-2018061020@dpiq_db.dpi_21,2018-06-10 23:25:41,1970-01-01 08:00:00,133,345549,710470960,2144143,RUNNING
root.hjpt,hjpt,application_1527220447442_1021563,clean:hainan_itf_4gdpi_mbl_20180610_22 DPI,2018-06-10 23:28:33,1970-01-01 08:00:00,122,97255,298233541,1972284,RUNNING
root.hxxt_bp,hxxt_yx,application_1527220447442_836353,BatchHiveToHive_HQPF_DB,2018-06-07 17:08:28,1970-01-01 08:00:00,121,34321273,124605398416,283977715,RUNNING
root.hxxt_bp,hxxt_yx,application_1527220447442_836355,BatchHiveToHive_BIL_CRM_DB,2018-06-07 17:08:41,1970-01-01 08:00:00,121,34201738,124176965100,283963923,RUNNING
root.hjdq,hjdq,application_1527220447442_1021771,CHECK_TASK_bil01_BIL_DB.ITG_FIX_MDR_H_task_46849daa-6cc3-11e8-8878-18c58a10ad18_34_20180609_0,2018-06-10 23:31:21,1970-01-01 08:00:00,108,5968,12337833,1804426,RUNNING
root.hjpt,hjpt,application_1527220447442_1021574,clean:liaoning_itf_4gdpi_mbl_20180610_22 DPI,2018-06-10 23:31:57,1970-01-01 08:00:00,106,66392,203537993,1768438,RUNNING
root.hxxt_yx,hxxt_yx,application_1527220447442_895902,tp_share_net_4gdpi_832_length,2018-06-08 18:11:55,1970-01-01 08:00:00,102,19739870,61830676331,193769912,RUNNING
root.hxxt_bp,hxxt_yx,application_1527220447442_836354,BatchHiveToHive_MSS_DB,2018-06-07 17:08:42,1970-01-01 08:00:00,101,43749649,202905709960,283963487,RUNNING
root.hxxt_bp,hxxt_yx,application_1527220447442_836358,BatchHiveToHive_NET_MD_DB,2018-06-07 17:09:00,1970-01-01 08:00:00,101,53247122,246670212499,283945230,RUNNING
root.hjdq,hjdq,application_1527220447442_1021770,CHECK_TASK_bil01_BIL_DB.ITG_FIX_MDR_H_task_44b7b264-6cc3-11e8-9dd5-18c58a10ad18_35_20180609_0,2018-06-10 23:31:21,1970-01-01 08:00:00,98,7218,14880601,1804626,RUNNING
root.hjpt,hjpt,application_1527220447442_1021561,clean:fujian_itf_4gdpi_mbl_20180610_22 DPI,2018-06-10 23:32:35,1970-01-01 08:00:00,85,51681,158247252,1730348,RUNNING
