root.hjpt,hjpt,application_1527220447442_815814,select * from itg_4gdpi_war...='18111726863'(Stage-1),2018-06-07 09:45:32,1970-01-01 08:00:00,7433,831191,1712269252,176168,RUNNING
root.hjpt,hjpt,application_1527220447442_816625,"select concat_ws('|',...ime='20180606124557'(Stage-1)",2018-06-07 10:35:31,1970-01-01 08:00:00,3980,517454,1069570418,179150,RUNNING
root.hjtest.hjstandard,hjtest,application_1527220447442_813419,'DPI_RECOG_QUANGUO_D_20180606_832',2018-06-07 07:03:35,1970-01-01 08:00:00,3192,214193,442027974,285649,RUNNING
root.dw,dw_etl,application_1527220447442_812454,HIVE-434adaa9-8afc-4d61-b304-9e06571e3bd5,2018-06-07 06:34:33,1970-01-01 08:00:00,2501,2281531,4679164582,9533235,RUNNING
root.sjyy_dm,daua,application_1527220447442_816356,insert overwrite table app...c.app_type_code(Stage-1),2018-06-07 10:21:59,1970-01-01 08:00:00,2489,1541651,3160854131,1291327,RUNNING
root.dw,dw_etl,application_1527220447442_812461,HIVE-5ac6d0a1-a977-4ddf-87d6-2e835805ca5d,2018-06-07 06:34:29,1970-01-01 08:00:00,1960,2500026,5125295063,9236866,RUNNING
root.hjpt,hjpt,application_1527220447442_814694,clean:sichuan_itf_4gdpi_mbl_20180606_22 Warn DPI,2018-06-07 07:49:52,1970-01-01 08:00:00,1908,175703,542698766,211043,RUNNING
root.hjpt,hjpt,application_1527220447442_828105,clean:chongqing_itf_4gdpi_mbl_20180607_03 DPI,2018-06-07 16:28:07,1970-01-01 08:00:00,1875,456479,1404821010,660835,RUNNING
root.hjpt,hjpt,application_1527220447442_814546,clean:sichuan_itf_4gdpi_mbl_20180606_23 Warn DPI,2018-06-07 07:41:01,1970-01-01 08:00:00,1860,91414,283748027,140956,RUNNING
root.dpiq,dpiq,application_1527220447442_814209,Compact-2018060706@dpiq_db.dpi_28,2018-06-07 07:38:23,1970-01-01 08:00:00,1844,384982,791006123,298968,RUNNING
root.hjpt,hjpt,application_1527220447442_814766,clean:guangdong_itf_4gdpi_mbl_20180607_01 Warn DPI,2018-06-07 07:49:54,1970-01-01 08:00:00,1812,170143,525535507,208637,RUNNING
root.dpiq,dpiq,application_1527220447442_813620,TS-IndexLoader-2018060705@dpiq_db.dpi_571,2018-06-07 07:10:01,1970-01-01 08:00:00,1791,42651,130302987,199811,RUNNING
root.hjtest.hjstandard,hjtest,application_1527220447442_815343,'DPI_APP_INFO_H_835_20180604',2018-06-07 08:36:30,1970-01-01 08:00:00,1764,40189,84302013,115256,RUNNING
root.dw,dw_etl,application_1527220447442_812436,HIVE-1ef60b8d-8b80-40af-a438-60fec28ecb9d,2018-06-07 06:34:19,1970-01-01 08:00:00,1712,2248692,4610404679,8346917,RUNNING
root.dpiq,dpiq,application_1527220447442_834167,TS-IndexLoader-2018060711@dpiq_db.dpi_28,2018-06-07 16:28:22,1970-01-01 08:00:00,1682,86670,215535446,345795,RUNNING
root.dpiq,dpiq,application_1527220447442_833736,TS-IndexLoader-2018060714@dpiq_db.dpi_10,2018-06-07 16:17:39,1970-01-01 08:00:00,1682,79564,195557561,387418,RUNNING
root.dpiq,dpiq,application_1527220447442_835753,TS-IndexLoader-2018060716@dpiq_db.dpi_351,2018-06-07 16:53:58,1970-01-01 08:00:00,1668,38475,120651608,312289,RUNNING
root.sjyy_dm,daua,application_1527220447442_815856,'MID_APP_MBL_DPI_USER_TRMNL_INFO_D_ALL_20180606_833',2018-06-07 09:51:46,1970-01-01 08:00:00,1648,29868,62895121,102485,RUNNING
root.dpiq,dpiq,application_1527220447442_811888,TS-IndexLoader-2018060705@dpiq_db.dpi_10,2018-06-07 06:14:55,1970-01-01 08:00:00,1620,91186,273046083,501356,RUNNING
root.sjyy_dm,daua,application_1527220447442_816022,"select prov_id,count(1) from app_a...prov_id(Stage-1)",2018-06-07 10:06:00,1970-01-01 08:00:00,1596,565337,1160069031,448977,RUNNING
root.dpiq,dpiq,application_1527220447442_821010,TS-IndexLoader-20180607001@dpiq_db.dpi_aggregation_891,2018-06-07 12:05:05,1970-01-01 08:00:00,1592,61451,191341636,213864,RUNNING
root.dw,dw_etl,application_1527220447442_821446,HIVE-3d091cd7-5c33-4656-98aa-73b9ab6dc179,2018-06-07 12:11:18,1970-01-01 08:00:00,1588,2528235,5180457300,8254859,RUNNING
root.dw,dw_etl,application_1527220447442_815673,HIVE-a9364424-c22b-4c2c-898e-a8eb3df599d6,2018-06-07 09:25:10,1970-01-01 08:00:00,1557,2544936,5218217573,8305337,RUNNING
root.hjtest.hjstandard,hjtest,application_1527220447442_812179,'DPI_RECOG_QUANGUO_D_20180606_813',2018-06-07 06:22:54,1970-01-01 08:00:00,1555,275470,566368166,2125831,RUNNING
